service_id,date,exception_type
"T0+sf#65","20210603","2"
"T0+sf#65","20210604","2"
"T0+sf#65","20210607","2"
"T0+sf#65","20210608","2"
"T0+sf#65","20210609","2"
"T0+sf#65","20210610","2"
"T0+sf#65","20210611","2"
"T0+sf#66","20210726","2"
"T0+sf#66","20210727","2"
"T0+sf#66","20210728","2"
"T0+sf#7","20210705","2"
"T0+sf#7","20210706","2"
"T0+sf#7","20210707","2"
"T0+sf#7","20210708","2"
"T0+sf#7","20210709","2"
"T0+sf#7","20210712","2"
"T0+sf#7","20210713","2"
"T0+sf#7","20210714","2"
"T0+sf#7","20210715","2"
"T0+sf#7","20210716","2"
"T0+sf#7","20210719","2"
"T0+sf#7","20210720","2"
"T0+sf#7","20210721","2"
"T0+sf#7","20210722","2"
"T0+sf#7","20210723","2"
"T0+sf#7","20210726","2"
"T0+sf#7","20210727","2"
"T0+sf#7","20210728","2"
"T0+sf#7","20210913","2"
"T0+sf#7","20210914","2"
"T0+sf#7","20210915","2"
"T0+sf#7","20210916","2"
"T0+sf#7","20210917","2"
"T0+sf#7","20210920","2"
"T0+sf#7","20210921","2"
"T0+sf#7","20210922","2"
"T0+sf#7","20210923","2"
"T0+sf#7","20210924","2"
"T0+sf#7","20210927","2"
"T0+sf#7","20210928","2"
"T0+sf#7","20210929","2"
"T0+sf#7","20210930","2"
"T0+sf#7","20211001","2"
"T0+sf#7","20211004","2"
"T0+sf#7","20211005","2"
"T0+sf#7","20211006","2"
"T0+sf#7","20211007","2"
"T0+sf#7","20211008","2"
"T0+sf#7","20211011","2"
"T0+sf#7","20211012","2"
"T0+sf#7","20211013","2"
"T0+sf#7","20211014","2"
"T0+sf#7","20211015","2"
"T0+sf#7","20211018","2"
"T0+sf#7","20211019","2"
"T0+sf#7","20211020","2"
"T0+sf#7","20211021","2"
"T0+sf#7","20211022","2"
"T0+sf#7","20211025","2"
"T0+sf#7","20211026","2"
"T0+sf#7","20211027","2"
"T0+sf#7","20211028","2"
"T0+sf#7","20211029","2"
"T0+sf#7","20211101","2"
"T0+sf#7","20211108","2"
"T0+sf#7","20211109","2"
"T0+sf#7","20211110","2"
"T0+sf#7","20211111","2"
"T0+sf#7","20211112","2"
"T0+sf#7","20211115","2"
"T0+sf#7","20211116","2"
"T0+sf#7","20211117","2"
"T0+sf#7","20211118","2"
"T0+sf#7","20211119","2"
"T0+sf#7","20211122","2"
"T0+sf#7","20211123","2"
"T0+sf#7","20211124","2"
"T0+sf#7","20211125","2"
"T0+sf#7","20211126","2"
"T0+sf#7","20211129","2"
"T0+sf#7","20211130","2"
"T0+sf#7","20211201","2"
"T0+sf#7","20211202","2"
"T0+sf#7","20211203","2"
"T0+sf#7","20211206","2"
"T0+sf#7","20211207","2"
"T0+sf#7","20211208","2"
"T0+sf#7","20211209","2"
"T0+sf#7","20211210","2"
"T0+sf#8","20201214","2"
"T0+sf#8","20201215","2"
"T0+sf#8","20201216","2"
"T0+sf#8","20201217","2"
"T0+sf#8","20201218","2"
"T0+sf#8","20201224","2"
"T0+sf#8","20201225","2"
"T0+sf#8","20201231","2"
"T0+sf#8","20210101","2"
"T0+sf#8","20210106","2"
"T0+sf#8","20210118","2"
"T0+sf#8","20210119","2"
"T0+sf#8","20210120","2"
"T0+sf#8","20210121","2"
"T0+sf#8","20210122","2"
"T0+sf#8","20210125","2"
"T0+sf#8","20210126","2"
"T0+sf#8","20210127","2"
"T0+sf#8","20210128","2"
"T0+sf#8","20210129","2"
"T0+sf#8","20210201","2"
"T0+sf#8","20210202","2"
"T0+sf#8","20210203","2"
"T0+sf#8","20210204","2"
"T0+sf#8","20210205","2"
"T0+sf#8","20210208","2"
"T0+sf#8","20210209","2"
"T0+sf#8","20210210","2"
"T0+sf#8","20210211","2"
"T0+sf#8","20210212","2"
"T0+sf#8","20210215","2"
"T0+sf#8","20210216","2"
"T0+sf#8","20210217","2"
"T0+sf#8","20210218","2"
"T0+sf#8","20210219","2"
"T0+sf#8","20210222","2"
"T0+sf#8","20210223","2"
"T0+sf#8","20210224","2"
"T0+sf#8","20210225","2"
"T0+sf#8","20210226","2"
"T0+sf#8","20210301","2"
"T0+sf#8","20210302","2"
"T0+sf#8","20210303","2"
"T0+sf#8","20210304","2"
"T0+sf#8","20210305","2"
"T0+sf#8","20210308","2"
"T0+sf#8","20210309","2"
"T0+sf#8","20210310","2"
"T0+sf#8","20210311","2"
"T0+sf#8","20210312","2"
"T0+sf#8","20210315","2"
"T0+sf#8","20210316","2"
"T0+sf#8","20210317","2"
"T0+sf#8","20210318","2"
"T0+sf#8","20210319","2"
"T0+sf#8","20210322","2"
"T0+sf#8","20210323","2"
"T0+sf#8","20210324","2"
"T0+sf#8","20210325","2"
"T0+sf#8","20210326","2"
"T0+sf#8","20210329","2"
"T0+sf#8","20210330","2"
"T0+sf#8","20210331","2"
"T0+sf#8","20210401","2"
"T0+sf#8","20210402","2"
"T0+sf#8","20210405","2"
"T0+sf#8","20210406","2"
"T0+sf#8","20210407","2"
"T0+sf#8","20210408","2"
"T0+sf#8","20210409","2"
"T0+sf#8","20210412","2"
"T0+sf#8","20210413","2"
"T0+sf#8","20210414","2"
"T0+sf#8","20210415","2"
"T0+sf#8","20210416","2"
"T0+sf#8","20210419","2"
"T0+sf#8","20210420","2"
"T0+sf#8","20210421","2"
"T0+sf#8","20210422","2"
"T0+sf#8","20210423","2"
"T0+sf#8","20210426","2"
"T0+sf#8","20210427","2"
"T0+sf#8","20210428","2"
"T0+sf#8","20210429","2"
"T0+sf#8","20210430","2"
"T0+sf#8","20210503","2"
"T0+sf#8","20210504","2"
"T0+sf#8","20210505","2"
"T0+sf#8","20210506","2"
"T0+sf#8","20210507","2"
"T0+sf#8","20210510","2"
"T0+sf#8","20210511","2"
"T0+sf#8","20210512","2"
"T0+sf#8","20210513","2"
"T0+sf#8","20210514","2"
"T0+sf#8","20210517","2"
"T0+sf#8","20210518","2"
"T0+sf#8","20210519","2"
"T0+sf#8","20210520","2"
"T0+sf#8","20210521","2"
"T0+sf#8","20210524","2"
"T0+sf#8","20210525","2"
"T0+sf#8","20210526","2"
"T0+sf#8","20210527","2"
"T0+sf#8","20210528","2"
"T0+sf#8","20210531","2"
"T0+sf#8","20210601","2"
"T0+sf#8","20210602","2"
"T0+sf#8","20210603","2"
"T0+sf#8","20210604","2"
"T0+sf#8","20210607","2"
"T0+sf#8","20210608","2"
"T0+sf#8","20210609","2"
"T0+sf#8","20210610","2"
"T0+sf#8","20210611","2"
"T0+sf#9","20210201","2"
"T0+sf#9","20210202","2"
"T0+sf#9","20210203","2"
"T0+sf#9","20210204","2"
"T0+sf#9","20210205","2"
"T0+sf#9","20210208","2"
"T0+sf#9","20210209","2"
"T0+sf#9","20210210","2"
"T0+sf#9","20210211","2"
"T0+sf#9","20210212","2"
"T0+sf#9","20210222","2"
"T0+sf#9","20210223","2"
"T0+sf#9","20210224","2"
"T0+sf#9","20210225","2"
"T0+sf#9","20210226","2"
"T0+sf#9","20210301","2"
"T0+sf#9","20210302","2"
"T0+sf#9","20210303","2"
"T0+sf#9","20210304","2"
"T0+sf#9","20210305","2"
"T0+sf#9","20210308","2"
"T0+sf#9","20210309","2"
"T0+sf#9","20210310","2"
"T0+sf#9","20210311","2"
"T0+sf#9","20210312","2"
"T0+sf#9","20210315","2"
"T0+sf#9","20210316","2"
"T0+sf#9","20210317","2"
"T0+sf#9","20210318","2"
"T0+sf#9","20210319","2"
"T0+sf#9","20210322","2"
"T0+sf#9","20210323","2"
"T0+sf#9","20210324","2"
"T0+sf#9","20210325","2"
"T0+sf#9","20210326","2"
"T0+sf#9","20210329","2"
"T0+sf#9","20210330","2"
"T0+sf#9","20210331","2"
"T0+sf#9","20210402","2"
"T0+sf#9","20210405","2"
"T0+sf#9","20210412","2"
"T0+sf#9","20210413","2"
"T0+sf#9","20210414","2"
"T0+sf#9","20210415","2"
"T0+sf#9","20210416","2"
"T0+sf#9","20210419","2"
"T0+sf#9","20210420","2"
"T0+sf#9","20210421","2"
"T0+sf#9","20210422","2"
"T0+sf#9","20210423","2"
"T0+sf#9","20210426","2"
"T0+sf#9","20210427","2"
"T0+sf#9","20210428","2"
"T0+sf#9","20210429","2"
"T0+sf#9","20210430","2"
"T0+sf#9","20210503","2"
"T0+sf#9","20210504","2"
"T0+sf#9","20210505","2"
"T0+sfr","20210111","2"
"T0+sfr","20210112","2"
"T0+sfr","20210118","2"
"T0+sfr","20210119","2"
"T0+sfr","20210125","2"
"T0+sfr","20210126","2"
"T0+sfr","20210201","2"
"T0+sfr","20210202","2"
"T0+sfr","20210208","2"
"T0+sfr","20210209","2"
"T0+sfr","20210222","2"
"T0+sfr","20210223","2"
"T0+sfr","20210301","2"
"T0+sfr","20210302","2"
"T0+sfr","20210308","2"
"T0+sfr","20210309","2"
"T0+sfr","20210315","2"
"T0+sfr","20210316","2"
"T0+sfr","20210322","2"
"T0+sfr","20210323","2"
"T0+ss","20201221","2"
"T0+ss","20201222","2"
"T0+ss","20201223","2"
"T0+ss","20201224","2"
"T0+ss","20201225","2"
"T0+ss","20201228","2"
"T0+ss","20201229","2"
"T0+ss","20201230","2"
"T0+ss","20201231","2"
"T0+ss#1","20210401","2"
"T0+ss#1","20210402","2"
"T0+ss#1","20210405","2"
"T0+ss#1","20210406","2"
"T0+ss#1","20210407","2"
"T0+ss#1","20210408","2"
"T0+ss#1","20210409","2"
"T0+ss#1","20210513","2"
"T0+ss#1","20210524","2"
"T0+ss#1","20210525","2"
"T0+ss#1","20210526","2"
"T0+ss#1","20210527","2"
"T0+ss#1","20210528","2"
"T0+ss#1","20210531","2"
"T0+ss#1","20210601","2"
"T0+ss#1","20210602","2"
"T0+ss#1","20210603","2"
"T0+ss#1","20210604","2"
"T0+ss#100","20210708","2"
"T0+ss#100","20210709","2"
"T0+ss#100","20210712","2"
"T0+ss#100","20210713","2"
"T0+ss#100","20210714","2"
"T0+ss#100","20210715","2"
"T0+ss#100","20210716","2"
"T0+ss#100","20210719","2"
"T0+ss#100","20210720","2"
"T0+ss#100","20210721","2"
"T0+ss#100","20210722","2"
"T0+ss#100","20210723","2"
"T0+ss#100","20210726","2"
"T0+ss#100","20210727","2"
"T0+ss#100","20210728","2"
"T0+ss#100","20210729","2"
"T0+ss#100","20210730","2"
"T0+ss#100","20210802","2"
"T0+ss#100","20210803","2"
"T0+ss#100","20210804","2"
"T0+ss#100","20210805","2"
"T0+ss#100","20210806","2"
"T0+ss#100","20210809","2"
"T0+ss#100","20210810","2"
"T0+ss#100","20210811","2"
"T0+ss#100","20210812","2"
"T0+ss#100","20210813","2"
"T0+ss#100","20210816","2"
"T0+ss#100","20210817","2"
"T0+ss#100","20210818","2"
"T0+ss#100","20210819","2"
"T0+ss#100","20210820","2"
"T0+ss#100","20210823","2"
"T0+ss#100","20210824","2"
"T0+ss#100","20210825","2"
"T0+ss#100","20210826","2"
"T0+ss#100","20210827","2"
"T0+ss#100","20210830","2"
"T0+ss#100","20210831","2"
"T0+ss#100","20210901","2"
"T0+ss#100","20210902","2"
"T0+ss#100","20210903","2"
"T0+ss#100","20210906","2"
"T0+ss#100","20210907","2"
"T0+ss#100","20210908","2"
"T0+ss#100","20210909","2"
"T0+ss#100","20210910","2"
"T0+ss#100","20210913","2"
"T0+ss#100","20210914","2"
"T0+ss#100","20210915","2"
"T0+ss#100","20210916","2"
"T0+ss#100","20210917","2"
"T0+ss#100","20210920","2"
"T0+ss#100","20210921","2"
"T0+ss#100","20210922","2"
"T0+ss#100","20210923","2"
"T0+ss#100","20210924","2"
"T0+ss#100","20210927","2"
"T0+ss#100","20210928","2"
"T0+ss#100","20210929","2"
"T0+ss#100","20210930","2"
"T0+ss#100","20211001","2"
"T0+ss#100","20211004","2"
"T0+ss#100","20211005","2"
"T0+ss#100","20211006","2"
"T0+ss#100","20211007","2"
"T0+ss#100","20211008","2"
"T0+ss#100","20211011","2"
"T0+ss#100","20211012","2"
"T0+ss#100","20211013","2"
"T0+ss#100","20211014","2"
"T0+ss#100","20211015","2"
"T0+ss#100","20211018","2"
"T0+ss#100","20211019","2"
"T0+ss#100","20211020","2"
"T0+ss#100","20211021","2"
"T0+ss#100","20211022","2"
"T0+ss#100","20211025","2"
"T0+ss#100","20211026","2"
"T0+ss#100","20211027","2"
"T0+ss#100","20211028","2"
"T0+ss#100","20211029","2"
"T0+ss#100","20211101","2"
"T0+ss#100","20211102","2"
"T0+ss#100","20211103","2"
"T0+ss#100","20211104","2"
"T0+ss#100","20211105","2"
"T0+ss#100","20211108","2"
"T0+ss#100","20211109","2"
"T0+ss#100","20211110","2"
"T0+ss#100","20211111","2"
"T0+ss#100","20211112","2"
"T0+ss#100","20211115","2"
"T0+ss#100","20211116","2"
"T0+ss#100","20211117","2"
"T0+ss#100","20211118","2"
"T0+ss#100","20211119","2"
"T0+ss#100","20211122","2"
"T0+ss#100","20211123","2"
"T0+ss#100","20211124","2"
"T0+ss#100","20211125","2"
"T0+ss#100","20211126","2"
"T0+ss#100","20211129","2"
"T0+ss#100","20211130","2"
"T0+ss#100","20211201","2"
"T0+ss#100","20211202","2"
"T0+ss#100","20211203","2"
"T0+ss#100","20211206","2"
"T0+ss#100","20211207","2"
"T0+ss#100","20211208","2"
"T0+ss#100","20211209","2"
"T0+ss#100","20211210","2"
"T0+ss#101","20210729","2"
"T0+ss#101","20210730","2"
"T0+ss#101","20210802","2"
"T0+ss#101","20210803","2"
